symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count
SRE,DBA Sempra,77.78,3659898.8333333335,94.25803150822675,61.900001525878906,8.437606399052399,0.16714722325162112,76.47550010681152,72.89429954528809,Low Price,2025-05-29T18:17:08.816637,251
PEG,Public Service Enterprise Group,79.19,2896598.7,93.81672458013468,70.29890969685289,11.530540690798752,0.20269197470449363,78.81300048828125,80.51640029907226,Low Price,2025-05-29T18:17:09.215066,251
XEL,Xcel Energy Inc.,69.38,4137784.4,73.0,50.67669981819753,34.889652149361524,0.2599937027394788,70.26599960327148,69.89959976196289,Low Price,2025-05-29T18:17:09.577403,251
ED,"Consolidated Edison, Inc.",103.375,2729705.7666666666,113.89924126554786,85.24459868108332,16.386805455700216,0.276302827909761,105.19003753662109,107.32053512573242,Medium Price,2025-05-29T18:17:09.840324,251
PCG,Pacific Gas & Electric Co.,17.045,13481435.2,21.66112345522239,14.96795557625283,-5.471020191770359,0.19980603006857256,17.171749973297118,17.077878322601318,Low Price,2025-05-29T18:17:10.590554,251
EIX,Edison International,55.58,2687314.533333333,86.38769513808452,48.31805252497342,-20.677175778179514,0.2253038063579131,56.32600040435791,56.61111717224121,Low Price,2025-05-29T18:17:10.603273,251
FSLR,"First Solar, Inc.",154.7,5518400.033333333,306.7699890136719,116.55999755859375,-44.3905260467346,1.0194773847142147,154.88999938964844,139.71620056152344,Medium Price,2025-05-29T18:17:10.786072,251
AWK,"American Water Works Company, I",141.665,1274020.1333333333,154.57130600334858,117.30255049799621,16.829984479769,0.3238118863403667,142.78488311767578,143.53213409423827,Medium Price,2025-05-29T18:17:10.970793,251
CNP,"CenterPoint Energy, Inc (Holdin",37.125,5187343.2,39.07352052045635,24.908968999015336,29.816296146306808,0.18062884328063708,37.57794628143311,36.903800048828124,Low Price,2025-05-29T18:17:11.285445,251
BE,Bloom Energy Corporation,18.615,5781137.1,29.825000762939453,9.020000457763672,19.942005296824973,0.6291575459114254,18.395750045776367,19.040100021362306,Low Price,2025-05-29T18:17:11.388201,251
BLDP,"Ballard Power Systems, Inc.",1.42,7054616.633333334,3.2300000190734863,1.0,-53.13531450518978,0.5315356388724944,1.3384999871253966,1.2450000023841858,Low Price,2025-05-29T18:17:11.853965,251
FCEL,"FuelCell Energy, Inc.",5.34,1001482.0,30.899999618530273,3.5799999237060547,-78.80952384556592,1.25047141533519,4.473500037193299,4.397800016403198,Low Price,2025-05-29T18:17:12.086904,251
QS,QuantumScape Corporation,4.1084,11634243.633333333,9.520000457763672,3.4000000953674316,-28.174824847785153,0.8412188618007657,4.085920035839081,4.0673679971694945,Low Price,2025-05-29T18:17:12.768280,251
HYLN,Hyliion Holdings Corp.,1.625,2833443.2333333334,4.09499979019165,1.1100000143051147,12.847217738076665,2.091054597910041,1.4962500035762787,1.471899995803833,Low Price,2025-05-29T18:17:13.096041,251
PLUG,"Plug Power, Inc.",0.9189,147101128.46666667,3.549999952316284,0.6899999976158142,-71.30312627102246,1.0935711192623068,0.8169149994850159,1.0295660030841827,Low Price,2025-05-29T18:17:13.706894,251
CLSK,"CleanSpark, Inc.",8.815,26948754.933333334,20.639999389648438,6.452000141143799,-48.35969690698887,0.7570082934633515,9.230249881744385,8.398999948501586,Low Price,2025-05-29T18:17:13.822941,251
