symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count,open,daily_high,daily_low,close,high,low
BLDP,"Ballard Power Systems, Inc.",,8059230.0,2.940000057220459,1.0,-43.75000164351041,0.6574659129396617,1.3764999747276305,1.2537999987602233,Low Price,2025-06-07T19:07:31.397710,250,1.440000057220459,,,1.53,1.5499999523162842,1.4299999475479126
FCEL,"FuelCell Energy, Inc.",,1456706.6666666667,30.899999618530273,3.5799999237060547,-75.21072913552457,1.5670457589241114,4.933500027656555,4.447200012207031,Low Price,2025-06-07T19:07:31.499283,250,5.460000038146973,,,6.47,7.480000019073486,5.409999847412109
QS,QuantumScape Corporation,,11986003.333333334,9.520000457763672,3.4000000953674316,-24.90908882834695,0.9037395962315181,4.126000058650971,4.005800018310547,Low Price,2025-06-07T19:07:31.879995,250,4.03000020980835,,,4.13,4.175000190734863,4.010000228881836
CLSK,"CleanSpark, Inc.",,26504340.0,20.639999389648438,6.452000141143799,-37.16302946217053,0.7478188191378894,9.44949984550476,8.517299957275391,Low Price,2025-06-07T19:07:32.271549,250,9.239999771118164,,,9.79,10.050000190734863,9.199999809265137
HYLN,Hyliion Holdings Corp.,,2969240.0,4.09499979019165,1.1100000143051147,13.768120136012607,2.1167542088326763,1.4735000014305115,1.459599995613098,Low Price,2025-06-07T19:07:32.280829,250,1.5099999904632568,,,1.57,1.6299999952316284,1.5099999904632568
RIOT,"Riot Platforms, Inc.",,34241576.666666664,15.869999885559082,6.190000057220459,1.3374497003039387,0.7362592309545537,8.84249997138977,7.947300004959106,Low Price,2025-06-07T19:07:32.686696,250,9.25,,,9.85,10.199999809265137,9.220000267028809
DLR,"Digital Realty Trust, Inc.",,1764730.0,195.0647082124082,129.9499969482422,24.606482310264212,0.13295124106968775,170.270499420166,158.82519897460938,Medium Price,2025-06-07T19:07:32.739228,250,176.97999572753906,,,176.84,177.80999755859375,176.27000427246094
PLD,"Prologis, Inc.",,4255156.666666667,129.30280157323995,85.3499984741211,2.0877506638166565,0.25310665874978944,108.13400039672851,104.70400009155273,Medium Price,2025-06-07T19:07:32.862117,250,108.9000015258789,,,108.79,110.0199966430664,108.1500015258789
CCI,Crown Castle Inc.,,2899150.0,117.04544916956273,82.81422764194471,4.588345459636112,0.2375884064556472,100.63600006103516,101.59800003051758,Low Price,2025-06-07T19:07:33.129625,250,99.63999938964844,,,98.95,100.3499984741211,98.66000366210938
AMT,American Tower Corporation (REI,,2679683.3333333335,237.71576007371795,171.10221977581452,13.030445628493847,0.2761680674725248,212.64700012207032,215.08132232666014,Medium Price,2025-06-07T19:07:33.191230,250,215.32000732421875,,,212.54,216.1300048828125,212.08999633789062
SBAC,SBA Communications Corporation,,811843.3333333334,249.01966519809642,183.55547993384775,18.924860423644407,0.24170924363552854,229.89439315795897,227.10794128417967,Medium Price,2025-06-07T19:07:33.355581,250,228.36000061035156,,,225.68,229.77999877929688,225.52000427246094
EQIX,"Equinix, Inc.",,517396.6666666667,983.5930564746006,697.6542756159126,23.88065403138686,0.1261832779940442,878.3347625732422,837.6924682617188,High Price,2025-06-07T19:07:33.726489,250,914.8200073242188,,,914.43,917.3900146484375,909.25
REIT,ALPS Active REIT ETF,,11146.666666666666,29.82946413966954,23.399999618530273,11.08446798701339,0.15628026542119583,26.608500003814697,26.313199996948242,Low Price,2025-06-07T19:07:33.987729,250,26.799999237060547,,,26.88,26.8799991607666,26.680999755859375
VTR,"Ventas, Inc.",,3027506.6666666665,71.36000061035156,47.58220525853798,31.99862327068159,0.16224589207967022,64.33449993133544,66.09531066894532,Low Price,2025-06-07T19:07:34.303269,250,63.40999984741211,,,63.64,63.79999923706055,62.97999954223633
AAPL,Apple Inc.,,52962730.0,259.47408555117545,168.9884109270566,4.054886435507821,0.3023892324038784,204.25800018310548,203.5144644165039,Medium Price,2025-06-07T19:07:34.671216,250,203.0,,,203.92,205.6999969482422,202.0500030517578
IBM,International Business Machines,,3671803.3333333335,270.1700134277344,161.90738830543634,62.9383577116734,0.21433630664988176,261.87699966430665,247.94153686523438,Medium Price,2025-06-07T19:07:35.021044,250,267.989990234375,,,268.87,270.1700134277344,267.5299987792969
CSCO,"Cisco Systems, Inc.",,19505440.0,66.16000366210938,43.572683630135934,48.4377769724208,0.23069610171287377,63.292999839782716,59.88520027160644,Low Price,2025-06-07T19:07:35.193180,250,65.31999969482422,,,66.06,66.16000366210938,65.2300033569336
